drugbank_id	entrez_gene	affinity_nM	n_pairs
DB00317	6098	10001	1
DB00317	6195	10001	1
DB00317	6196	10001	1
DB00317	6197	10001	1
DB00317	6198	10001	1
DB00317	6300	10001	1
DB00317	6416	10001	1
DB00317	6714	22886.543045629	1
DB00317	6725	10001	1
DB00317	6732	10001	1
DB00317	6787	10001	1
DB00317	6788	10001	1
DB00317	6789	10001	1
DB00317	6790	10001	1
DB00317	6792	10001	1
DB00317	6793	577.083055805219	1
DB00317	6794	10001	1
DB00317	6795	10001	1
DB00317	6850	10001	1
DB00317	6885	10001	1
DB00317	7006	10001	1
DB00317	7010	10001	1
DB00317	7016	10001	1
DB00317	7046	10001	1
DB00317	7048	10001	1
DB00317	7075	10001	1
DB00317	7272	10001	1
DB00317	7294	60000	1
DB00317	7297	10001	1
DB00317	7301	10001	1
DB00317	7444	10001	1
DB00317	7465	10001	1
DB00317	7525	10001	1
DB00317	7535	10001	1
DB00317	7786	10001	1
DB00317	8394	10001	1
DB00317	8396	10001	1
DB00317	8428	10001	1
DB00317	8445	10001	1
DB00317	8476	10001	1
DB00317	8536	10001	1
DB00317	8550	10001	1
DB00317	8569	290	1
DB00317	8573	10001	1
DB00317	8576	10001	1
DB00317	8621	10001	1
DB00317	8711	10001	1
DB00317	8737	10001	1
DB00317	8767	3303.53870106682	1
DB00317	8780	10001	1
DB00317	8814	10001	1
DB00317	8899	10001	1
DB00317	8999	10001	1
DB00317	9024	10001	1
DB00317	9064	10001	1
DB00317	9088	10001	1
DB00317	9113	10001	1
DB00317	9149	10001	1
DB00317	9201	10001	1
DB00317	9252	10001	1
DB00317	9261	10001	1
DB00317	9262	24438.0211663928	1
DB00317	9263	2e+06	1
DB00317	9344	10001	1
DB00317	9429	1153.19692631148	1
DB00317	9448	10001	1
DB00317	9578	10001	1
DB00317	9641	10001	1
DB00317	9748	5409.89756334442	1
DB00317	9833	10001	1
DB00317	9874	10001	1
DB00317	9891	10001	1
DB00317	9943	10001	1
DB00317	10000	10001	1
DB00317	10114	10001	1
